variant,seed,n_feat,auc,ap,f1,th
step+fill,14,16,0.6865455411453011,0.4292471093009251,0.4721311475409836,0.17999999999999994
step+fill,15,16,0.6742709149905237,0.4073894726267404,0.4580152671755725,0.15999999999999995
step+fill,16,16,0.6911299205175785,0.4379014722354905,0.4684385382059801,0.18499999999999994
step+fill,17,16,0.6923305913055559,0.4337780018227439,0.48812095032397407,0.2599999999999999
step+fill,18,16,0.6725145618543915,0.4165043067109717,0.4584837545126354,0.2099999999999999
step+fill,19,16,0.6840052789823076,0.43391752072146633,0.4591304347826087,0.19499999999999995
gap+fill,0,16,0.663931254155214,0.39015570401188865,0.45807770961145194,0.24499999999999988
gap+fill,1,16,0.6651220020441172,0.37928511774182383,0.4532871972318339,0.1999999999999999
gap+fill,2,16,0.6738144616331107,0.39378278274554795,0.46115288220551376,0.2999999999999999
gap+fill,3,16,0.6728420175238398,0.41059023682148366,0.4576271186440678,0.19499999999999995
gap+fill,4,16,0.6630084245413139,0.39627437387193254,0.45080500894454384,0.2099999999999999
gap+fill,5,16,0.6556853250245591,0.3885852149195483,0.44516129032258067,0.18499999999999994
gap+fill,6,16,0.6660646774561657,0.39200734408215565,0.45674740484429066,0.19499999999999995
gap+fill,7,16,0.6625519711839012,0.3955242200454487,0.44770642201834865,0.21999999999999992
gap+fill,8,16,0.6552784861625173,0.3917987484512053,0.444104134762634,0.16499999999999992
gap+fill,9,16,0.6736556952479236,0.4212890300480622,0.45936395759717313,0.2099999999999999
gap+fill,10,16,0.6546434206217688,0.38703747847278375,0.44485981308411215,0.21999999999999992
gap+fill,11,16,0.6786072218859462,0.4163387567740188,0.46484375,0.23499999999999993
gap+fill,12,16,0.6652906913283785,0.40809682652443335,0.44874274661508706,0.23999999999999988
gap+fill,13,16,0.6705399049386267,0.399215043537584,0.4602076124567474,0.2049999999999999
gap+fill,14,16,0.6741518402016333,0.4142894248679171,0.45454545454545453,0.23499999999999993
gap+fill,15,16,0.6582454329857012,0.3811865853000067,0.44565217391304346,0.2149999999999999
gap+fill,16,16,0.6817924724887623,0.4236228851537339,0.4583333333333333,0.2549999999999999
gap+fill,17,16,0.6769500977405559,0.4019760915711392,0.45972495088408644,0.23499999999999993
gap+fill,18,16,0.6565684630421624,0.381185964247022,0.44583987441130296,0.16999999999999993
gap+fill,19,16,0.6664119789237624,0.4085230549397083,0.4469820554649266,0.18499999999999994
all+fill,0,24,0.6699048393978784,0.40169346892094593,0.45674740484429066,0.18999999999999995
all+fill,1,24,0.6757891185488752,0.3933615073735585,0.4631268436578171,0.13999999999999996
all+fill,2,24,0.6882522797860622,0.4111616145113426,0.47953216374269003,0.22999999999999993
all+fill,3,24,0.6830427577721107,0.42690806844468443,0.4770992366412214,0.22499999999999992
all+fill,4,24,0.6710360498923365,0.40316288750901313,0.4618249534450652,0.2099999999999999
all+fill,5,24,0.6587713466366334,0.3924551936528978,0.44878048780487806,0.17499999999999993
all+fill,6,24,0.6763844924933267,0.40825347308685533,0.471169686985173,0.17499999999999993
all+fill,7,24,0.6761364200164721,0.4141652658509883,0.46296296296296297,0.2099999999999999
all+fill,8,24,0.6585927344532977,0.3925319792666869,0.45484949832775917,0.17999999999999994
all+fill,9,24,0.6851464123758397,0.4247093432986232,0.4633663366336634,0.23499999999999993
all+fill,10,24,0.667721801601556,0.40879217192292305,0.4576923076923077,0.2149999999999999
