name,setting,seed,fold,fold_f1,fold_th
H12-2 current,"char(2,6)",0,2,0.6052631578947368,0.2949999999999999
H12-2 current,"char(2,6)",0,3,0.5507246376811594,0.3099999999999999
H12-2 current,"char(2,6)",0,4,0.6436781609195402,0.2599999999999999
H12-2 current,"char(2,6)",1,0,0.627906976744186,0.27999999999999986
H12-2 current,"char(2,6)",1,1,0.6052631578947368,0.2999999999999999
H12-2 current,"char(2,6)",1,2,0.5783132530120482,0.28999999999999987
H12-2 current,"char(2,6)",1,3,0.6585365853658537,0.2599999999999999
H12-2 current,"char(2,6)",1,4,0.5797101449275363,0.32499999999999984
H12-2 current,"char(2,6)",2,0,0.6027397260273972,0.3099999999999999
H12-2 current,"char(2,6)",2,1,0.6052631578947368,0.28999999999999987
H12-2 current,"char(2,6)",2,2,0.5915492957746479,0.3049999999999999
H12-2 current,"char(2,6)",2,3,0.58,0.2499999999999999
H12-2 current,"char(2,6)",2,4,0.6571428571428571,0.31499999999999984
H12-2 current,"char(2,6)",3,0,0.5714285714285714,0.3049999999999999
H12-2 current,"char(2,6)",3,1,0.5161290322580645,0.2599999999999999
H12-2 current,"char(2,6)",3,2,0.5866666666666667,0.28499999999999986
H12-2 current,"char(2,6)",3,3,0.6976744186046512,0.2699999999999999
H12-2 current,"char(2,6)",3,4,0.5925925925925926,0.2749999999999999
H12-2 current,"char(2,6)",4,0,0.5813953488372093,0.2499999999999999
H12-2 current,"char(2,6)",4,1,0.6024096385542169,0.2749999999999999
H12-2 current,"char(2,6)",4,2,0.5373134328358209,0.31499999999999984
H12-2 current,"char(2,6)",4,3,0.6,0.3049999999999999
H12-2 current,"char(2,6)",4,4,0.7733333333333333,0.3049999999999999
H12-3 future,"char(2,6)",0,0,0.6060606060606061,0.23999999999999988
H12-3 future,"char(2,6)",0,1,0.6582278481012658,0.32499999999999984
H12-3 future,"char(2,6)",0,2,0.53125,0.34499999999999986
H12-3 future,"char(2,6)",0,3,0.5555555555555556,0.2999999999999999
H12-3 future,"char(2,6)",0,4,0.6197183098591549,0.3099999999999999
H12-3 future,"char(2,6)",1,0,0.6285714285714286,0.33999999999999986
H12-3 future,"char(2,6)",1,1,0.6153846153846154,0.2949999999999999
H12-3 future,"char(2,6)",1,2,0.5365853658536586,0.3099999999999999
H12-3 future,"char(2,6)",1,3,0.6170212765957447,0.22499999999999992
H12-3 future,"char(2,6)",1,4,0.6,0.2599999999999999
H12-3 future,"char(2,6)",2,0,0.5822784810126582,0.3099999999999999
H12-3 future,"char(2,6)",2,1,0.5714285714285714,0.22999999999999993
H12-3 future,"char(2,6)",2,2,0.5897435897435898,0.28999999999999987
H12-3 future,"char(2,6)",2,3,0.5714285714285714,0.22499999999999992
H12-3 future,"char(2,6)",2,4,0.6506024096385542,0.27999999999999986
H12-3 future,"char(2,6)",3,0,0.5773195876288659,0.2599999999999999
H12-3 future,"char(2,6)",3,1,0.5054945054945055,0.2549999999999999
H12-3 future,"char(2,6)",3,2,0.6,0.28999999999999987
H12-3 future,"char(2,6)",3,3,0.6933333333333334,0.3099999999999999
H12-3 future,"char(2,6)",3,4,0.5714285714285714,0.27999999999999986
H12-3 future,"char(2,6)",4,0,0.5301204819277109,0.2699999999999999
H12-3 future,"char(2,6)",4,1,0.62,0.21999999999999992
H12-3 future,"char(2,6)",4,2,0.5591397849462365,0.2499999999999999
H12-3 future,"char(2,6)",4,3,0.6133333333333333,0.3499999999999998
H12-3 future,"char(2,6)",4,4,0.7368421052631579,0.2949999999999999
H12-4 current|future,"char(2,6)",0,0,0.6140350877192983,0.17999999999999994
H12-4 current|future,"char(2,6)",0,1,0.6578947368421053,0.34499999999999986
H12-4 current|future,"char(2,6)",0,2,0.5675675675675675,0.3049999999999999
H12-4 current|future,"char(2,6)",0,3,0.5454545454545454,0.2949999999999999
H12-4 current|future,"char(2,6)",0,4,0.6530612244897959,0.2099999999999999
H12-4 current|future,"char(2,6)",1,0,0.6388888888888888,0.32999999999999985
H12-4 current|future,"char(2,6)",1,1,0.6105263157894737,0.23999999999999988
H12-4 current|future,"char(2,6)",1,2,0.575,0.32499999999999984
H12-4 current|future,"char(2,6)",1,3,0.6506024096385542,0.24499999999999988
H12-4 current|future,"char(2,6)",1,4,0.6133333333333333,0.33499999999999985
H12-4 current|future,"char(2,6)",2,0,0.6027397260273972,0.33499999999999985
H12-4 current|future,"char(2,6)",2,1,0.5934065934065934,0.23499999999999993
H12-4 current|future,"char(2,6)",2,2,0.6388888888888888,0.32499999999999984
H12-4 current|future,"char(2,6)",2,3,0.5714285714285714,0.3599999999999998
H12-4 current|future,"char(2,6)",2,4,0.6493506493506493,0.31499999999999984
H12-4 current|future,"char(2,6)",3,0,0.5777777777777777,0.2999999999999999
H12-4 current|future,"char(2,6)",3,1,0.525,0.28999999999999987
H12-4 current|future,"char(2,6)",3,2,0.6185567010309279,0.2049999999999999
H12-4 current|future,"char(2,6)",3,3,0.6923076923076923,0.3049999999999999
H12-4 current|future,"char(2,6)",3,4,0.5866666666666667,0.3049999999999999
